run,run_dir,symbols,start,end,option_premium_pct,take_profit,stop_loss,max_hold,trades,wins,losses,win_rate,net_pnl,return_pct,profit_factor,expectancy,min_delta,max_delta,min_vega,max_vega,max_theta,risk_score,return_component,pf_component,win_component,expectancy_component,sharpe_component,sortino_component,drawdown_component,risk_penalty,risk_grade,risk_reason
1,reports/backtests/20260707_002602_477626_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,18,11,7,0.6111111111111112,32700.74152167445,0.3270074152167445,3.6803201227250835,1816.7078623152472,0.45,0.6,0.2,0.3,999.0,72.43414295473963,65.40148304334889,100.0,87.30158730158732,90.83539311576236,0.0,0.0,100.0,0.0,B,Return=65.4 | PF=100.0 | Win=87.3 | Sharpe=0.0 | Sortino=0.0 | Drawdown=100.0
5,reports/backtests/20260707_002604_091624_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,18,11,7,0.6111111111111112,32700.74152167445,0.3270074152167445,3.6803201227250835,1816.7078623152472,0.45,0.65,0.2,0.3,999.0,72.43414295473963,65.40148304334889,100.0,87.30158730158732,90.83539311576236,0.0,0.0,100.0,0.0,B,Return=65.4 | PF=100.0 | Win=87.3 | Sharpe=0.0 | Sortino=0.0 | Drawdown=100.0
9,reports/backtests/20260707_002605_702907_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,18,11,7,0.6111111111111112,32700.74152167445,0.3270074152167445,3.6803201227250835,1816.7078623152472,0.5,0.6,0.2,0.3,999.0,72.43414295473963,65.40148304334889,100.0,87.30158730158732,90.83539311576236,0.0,0.0,100.0,0.0,B,Return=65.4 | PF=100.0 | Win=87.3 | Sharpe=0.0 | Sortino=0.0 | Drawdown=100.0
13,reports/backtests/20260707_002607_327677_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,18,11,7,0.6111111111111112,32700.74152167445,0.3270074152167445,3.6803201227250835,1816.7078623152472,0.5,0.65,0.2,0.3,999.0,72.43414295473963,65.40148304334889,100.0,87.30158730158732,90.83539311576236,0.0,0.0,100.0,0.0,B,Return=65.4 | PF=100.0 | Win=87.3 | Sharpe=0.0 | Sortino=0.0 | Drawdown=100.0
2,reports/backtests/20260707_002602_891925_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,52,29,23,0.5576923076923077,44687.80295343808,0.44687802953438077,2.042280178831569,859.3808260276553,0.45,0.6,0.2,0.4,999.0,67.69182006144456,89.37560590687616,68.0760059610523,79.67032967032968,42.96904130138277,0.0,0.0,100.0,0.0,B,Return=89.4 | PF=68.1 | Win=79.7 | Sharpe=0.0 | Sortino=0.0 | Drawdown=100.0
6,reports/backtests/20260707_002604_515336_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,52,29,23,0.5576923076923077,44687.80295343808,0.44687802953438077,2.042280178831569,859.3808260276553,0.45,0.65,0.2,0.4,999.0,67.69182006144456,89.37560590687616,68.0760059610523,79.67032967032968,42.96904130138277,0.0,0.0,100.0,0.0,B,Return=89.4 | PF=68.1 | Win=79.7 | Sharpe=0.0 | Sortino=0.0 | Drawdown=100.0
10,reports/backtests/20260707_002606_127984_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,52,29,23,0.5576923076923077,44687.80295343808,0.44687802953438077,2.042280178831569,859.3808260276553,0.5,0.6,0.2,0.4,999.0,67.69182006144456,89.37560590687616,68.0760059610523,79.67032967032968,42.96904130138277,0.0,0.0,100.0,0.0,B,Return=89.4 | PF=68.1 | Win=79.7 | Sharpe=0.0 | Sortino=0.0 | Drawdown=100.0
14,reports/backtests/20260707_002607_764078_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,52,29,23,0.5576923076923077,44687.80295343808,0.44687802953438077,2.042280178831569,859.3808260276553,0.5,0.65,0.2,0.4,999.0,67.69182006144456,89.37560590687616,68.0760059610523,79.67032967032968,42.96904130138277,0.0,0.0,100.0,0.0,B,Return=89.4 | PF=68.1 | Win=79.7 | Sharpe=0.0 | Sortino=0.0 | Drawdown=100.0
4,reports/backtests/20260707_002603_695202_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,34,18,16,0.5294117647058824,11987.061431763626,0.11987061431763626,1.3907797299547093,352.560630345989,0.45,0.6,0.3,0.4,999.0,40.78993008723688,23.974122863527253,46.35932433182364,75.63025210084035,17.62803151729945,0.0,0.0,100.0,0.0,D,Return=24.0 | PF=46.4 | Win=75.6 | Sharpe=0.0 | Sortino=0.0 | Drawdown=100.0
8,reports/backtests/20260707_002605_307917_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,34,18,16,0.5294117647058824,11987.061431763626,0.11987061431763626,1.3907797299547093,352.560630345989,0.45,0.65,0.3,0.4,999.0,40.78993008723688,23.974122863527253,46.35932433182364,75.63025210084035,17.62803151729945,0.0,0.0,100.0,0.0,D,Return=24.0 | PF=46.4 | Win=75.6 | Sharpe=0.0 | Sortino=0.0 | Drawdown=100.0
12,reports/backtests/20260707_002606_923993_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,34,18,16,0.5294117647058824,11987.061431763626,0.11987061431763626,1.3907797299547093,352.560630345989,0.5,0.6,0.3,0.4,999.0,40.78993008723688,23.974122863527253,46.35932433182364,75.63025210084035,17.62803151729945,0.0,0.0,100.0,0.0,D,Return=24.0 | PF=46.4 | Win=75.6 | Sharpe=0.0 | Sortino=0.0 | Drawdown=100.0
16,reports/backtests/20260707_002608_596955_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,34,18,16,0.5294117647058824,11987.061431763626,0.11987061431763626,1.3907797299547093,352.560630345989,0.5,0.65,0.3,0.4,999.0,40.78993008723688,23.974122863527253,46.35932433182364,75.63025210084035,17.62803151729945,0.0,0.0,100.0,0.0,D,Return=24.0 | PF=46.4 | Win=75.6 | Sharpe=0.0 | Sortino=0.0 | Drawdown=100.0
3,reports/backtests/20260707_002603_281359_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.45,0.6,0.3,0.3,999.0,0.0,,,,,,,,,NO_TRADES,No trades.
7,reports/backtests/20260707_002604_896891_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.45,0.65,0.3,0.3,999.0,0.0,,,,,,,,,NO_TRADES,No trades.
11,reports/backtests/20260707_002606_513845_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.3,0.3,999.0,0.0,,,,,,,,,NO_TRADES,No trades.
15,reports/backtests/20260707_002608_168064_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.1,0.03,-0.02,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.65,0.3,0.3,999.0,0.0,,,,,,,,,NO_TRADES,No trades.
